Id;Phase;Prozessname;Inhaltsbereich;Prozessbeteiligte;Ebene;Vorgaenger;Nachfolger
185;Projektvorbereitung;Vertragsinitiierung;Vertrag;;2;25;1
186;Projektvorbereitung;Vertragsanbahnung;Vertrag;;3;29;2
187;Projektvorbereitung;Informationen gewinnen;Vertrag;AG, AIF;4;30;188,189,190
188;Projektvorbereitung;Vertragsziele grob definieren;Vertrag;AG, RA;4;187;3
189;Projektvorbereitung;Vertragszweck beschreiben;Vertrag;AG, AIF, RA;4;187;3
190;Projektvorbereitung;Mögliche Vertragspartner grob auswaehlen;Vertrag;AG, AIF, PL, BER;4;187;3
1;Planung;Vertragsiniitierung;Vertrag;;2;185;6
2;Planung;Vertragsanbahnung;Vertrag;;3;186;7
204;Planung;Vergabevoraussetzungen analysieren;Vertrag;PM, PS, B, RA;4;188,189,190,198;3
3;Planung;Vergabeart wählen;Vertrag;AG, PM, PS, RA;4;204;4,5
4;Planung;Vertragszweck/ -ziel formulieren;Vertrag;PL, PM, PS, RA;4;3;
5;Planung;Leistungselemente spezifizieren;Vertrag;PM, AIF;4;3;
;Planung;Vertragskonzeption;Vertrag;;3;;
205;Planung;Ausschreibung erstellen;Vertrag;PM, AIF, RA;4;5;206
206;Planung;Potentielle Auftragnehmer auswählen;Vertrag;PL, RA, AIF, PS, AG;4;205,207;8
207;Planung;Vertragsbeziehungen gestalten;Vertrag;PL, RA;4;4;206
6;Ausführungsvorbereitung;Vertragsinitiierung;Vertrag;;2;1;11
7;Ausführungsvorbereitung;Vertragskonzeption;Vertrag;;3;2;12
8;Ausführungsvorbereitung;Leistungsbeschreibung einarbeiten;Vertrag;AIF, RA;4;206;10
11;Ausführungsvorbereitung;Zeichnungen zusammenstellen;Vertrag;AIF, RA, PL;4;;10,79
79;Ausführungsvorbereitung;Gutachten / Nachweise zusammenstellen;Vertrag;AIF, SV, BER, V;4;11;10
10;Ausführungsvorbereitung;Vertragsunterlagen zusammenstellen;Vertrag;RA, PL;4;8,11,79;9
9;Ausführungsvorbereitung;Vertragsentwurf erstellen;Vertrag;RA;4;10;13
12;Ausführungsvorbereitung;Vertragsverhandlung;Vertrag;;3;;
13;Ausführungsvorbereitung;Leistungen ausschreiben;Vertrag;AG, PL, B;4;9;119
119;Ausführungsvorbereitung;Zugang der Angebote erwarten;Vertrag;AG, PL, B;4;13;14
14;Ausführungsvorbereitung;Angebote und Verträge prüfen;Vertrag;PM, RA, PS;4;119;237
237;Ausführungsvorbereitung;Verhandlungsgespräche führen;Vertrag;PL, PM, AG, RA, aF;4;14;15
15;Ausführungsvorbereitung;Angebot(e) annehmen;Vertrag;AG, PL, aF;4;237;162
162;Ausführungsvorbereitung;Vertrag unterzeichnen;Vertrag;AG, aF, RA;4;15;
16;Ausführung;Vertragsabwicklung;Vertrag;;2;11;21
17;Ausführung;Vertragsdurchführung;Vertrag;;3;12;22
18;Ausführung;Vertragspflichten durchsetzen;Vertrag;PL, PM, RA, B;4;14;19
19;Ausführung;Änderungsvereinbarungen prüfen;Vertrag;PM, PS, AIF;4;18;20
289;Ausführung;Nachforderungen AN prüfen;Vertrag;PS, PM, RA, V, BER;4;;
290;Ausführung;Nachforderungen AN verhandeln;Vertrag;PM, AIF, aF;4;;
291;Ausführung;Nachforderungen AN freigeben/abwehren;Vertrag;PL, AG, RA;4;;
20;Ausführung;Abnahmen vorbereiten;Vertrag;PM, B;4;19;23
21;Projektabschluss;Vertragsabwicklung;Vertrag;;2;16;
22;Projektabschluss;Vertragsdurchführung;Vertrag;;3;17;
341;Projektabschluss;Nachforderungen AN prüfen;Vertrag;PS, PM, RA, V, BER;4;20;24
342;Projektabschluss;Nachforderungen AN verhandeln;Vertrag;PM, AIF, aF;4;;
343;Projektabschluss;Nachforderungen AN freigeben/abwehren;Vertrag;PL, AG, RA;4;;
344;Projektabschluss;Abnahmen vorbereiten;Vertrag;PM, B;4;;
345;Projektabschluss;Vertragsende;Vertrag;;3;;
346;Projektabschluss;Abnahmen durchführen;Vertrag;PL, AIF, SV, aF, AG, RA;4;;
23;Projektabschluss;Vertragspflichten auf Erfüllung prüfen;Vertrag;PL, AIF, SV, aF, AG, RA;4;;
347;Projektabschluss;Auf Mängel prüfen;Vertrag;PL, AIF, SV;4;;
348;Projektabschluss;Mängelbeseitigung durchsetzen;Vertrag;PL, AIF, AG, RA;4;;
24;Projektabschluss;Vertragsende einleiten;Vertrag;PL, AG, RA;4;23;
25;Projektvorbereitung;Projektinitiierung;Projektanbahnung;;2;;33,72,112,165,185
26;Projektvorbereitung;Projektidee/ -entscheidung;Projektanbahnung;;3;;29
180;Projektvorbereitung;Bedarf / Angebot eines Projektes;Projektanbahnung;AG, I, N, P, Of;4;;181
181;Projektvorbereitung;Projektziele definieren und beschreiben;Projektanbahnung;AG, AIF, I;4;180;28,182,183,184
28;Projektvorbereitung;Finanzierung sicherstellen;Projektanbahnung;AG, I, Ba, V;4;181;27
182;Projektvorbereitung;Machbarkeitsstudie durchführen;Projektanbahnung;AIF, PL, BER, SV;4;181;27
183;Projektvorbereitung;Wirtschaftlichkeitsanalyse erstellen;Projektanbahnung;AIF, PL, BER, SV;4;181;27
184;Projektvorbereitung;Budget ermitteln;Projektanbahnung;AG, AIF, BER;4;181;27
27;Projektvorbereitung;Über Projekt entscheiden;Projektanbahnung;AG, I, AIF;4;28,182,183,184;30,31,32,191,193
29;Projektvorbereitung;Projektauftrag;Projektanbahnung;;3;26;34,37,73,113,186
30;Projektvorbereitung;Projektrahmenbedingungen definieren;Projektanbahnung;AG, PL, I;4;27;187
31;Projektvorbereitung;Terminliche Ziele definieren;Projektanbahnung;AG, I;4;27;74,187
32;Projektvorbereitung;Qualitative/quantitative Ziele definieren;Projektanbahnung;AG, I;4;27;114,187
191;Projektvorbereitung;Finanzielle Ziele definieren;Projektanbahnung;AG, I;4;27;187
33;Projektvorbereitung;Kostenermittlung;Kosten;;2;25;40,52
34;Projektvorbereitung;Kostenvorgabe;Kosten;;3;29;
164;Projektvorbereitung;Budget festlegen;Kosten;AG, I, PL;4;30,191;35
35;Projektvorbereitung;Kostenvorgabe auf Basis des Budget bilden;Kosten;AG, AIF, PL;4;164;39
192;Projektvorbereitung;Kostenvorgabe auf Basis der KK bilden;Kosten;AG, AIF, PL;4;36;39
39;Projektvorbereitung;Über Kostenvorgabe entscheiden;Kosten;AG;4;35,192;
37;Projektvorbereitung;Kostenrahmen;Kosten;;3;29;34,41,52
36;Projektvorbereitung;Kostenkennwerte (KK) bilden;Kosten;AIF, PS, PM;4;30,32,191;38
38;Projektvorbereitung;Kostenrahmen auf Basis der KK erstellen;Kosten;AIF, PM;4;36;42,54,192
208;Projektvorbereitung;Projektbuchhaltung;Kosten;;3;;
209;Projektvorbereitung;Mittelbedarf planen;Kosten;AG, I, Ba, PL;4;;
210;Projektvorbereitung;Mittelabfluss konzipieren;Kosten;AG, I, Ba, PL, V;4;;
211;Projektvorbereitung;Rechnungen prüfen und freigeben;Kosten;PL, PM;4;;
52;Planung;Kostenermittlung;Kosten;;2;33;60
212;Planung;Projektbuchhaltung;Kosten;;3;;
54;Planung;Mittelabfluss einrichten;Kosten;AG, PL, V, I, Ba;4;39;55
58;Planung;Geplante Finanzierung umsetzen;Kosten;AG, I, V, Ba;4;56;59
213;Planung;Rechnungen prüfen und freigeben;Kosten;PM, AIF, AG;4;;
53;Planung;Kostenschätzung;Kosten;;3;37;57
55;Planung;Kostenrahmen überprüfen;Kosten;AIF, PM, PS;4;54;56
214;Planung;Kostenkennwerte (KK) bilden;Kosten;AIF, PM, PS;4;;
56;Planung;Kostenschätzung durchfuehren;Kosten;AIF;4;55;58
57;Planung;Kostenberechnung;Kosten;;3;53;61
215;Planung;Kostenkennwerte (KK) bilden;Kosten;AIF, PM, PS;4;56;59
59;Planung;Kostenberechnung durchführen;Kosten;AIF;4;58;62
60;Ausführungsvorbereitung;Kostenermittlung;Kosten;;2;52;64
61;Ausführungsvorbereitung;Kostenanschlag I;Kosten;;3;57;65
236;Ausführungsvorbereitung;KK bilden;Kosten;AIF, PM, PS;4;;
238;Ausführungsvorbereitung;Kostenanschlag I erstellen;Kosten;AIF;4;;
62;Ausführungsvorbereitung;SOLL-Werte für Vergabeeinheiten festlegen;Kosten;AIF, PM, PS;4;59;63
235;Ausführungsvorbereitung;Kostenanschlag II;Kosten;;3;;
63;Ausführungsvorbereitung;Kostenanschlag II erstellen;Kosten;AIF;4;62;66
224;Ausführungsvorbereitung;Kostenanschlag II anpassen;Kosten;AIF;4;;
223;Ausführungsvorbereitung;Projektbuchhaltung;Kosten;;3;;
225;Ausführungsvorbereitung;Mittelabfluss planen;Kosten;AG, PL, V, I, Ba;4;;
226;Ausführungsvorbereitung;Rechnungen prüfen und freigeben;Kosten;PM, AIF, AG;4;;
64;Ausführung;Kostenermittlung;Kosten;;2;60;68
65;Ausführung;Kostenverfolgung;Kosten;;3;61;69
66;Ausführung;Erbrachte Leistungen fortschreiben;Kosten;PM, PS, AIF;4;63;67
292;Ausführung;Minderungen/Mehrungen einpflegen;Kosten;PM, PS, AIF;4;;
293;Ausführung;Budget fortschreiben;Kosten;PM, PS, AIF;4;;
294;Ausführung;Nachtragsmanagement;Kosten;;3;;
67;Ausführung;Nachträge einpflegen;Kosten;PM, PS, AIF;4;66;70
295;Ausführung;Erwartete Nachträge kalkulieren;Kosten;PM, PS, AIF, BER, SV;4;;
296;Ausführung;Projektbuchhaltung;Kosten;;3;;
297;Ausführung;Mittelabfluss fortschreiben;Kosten;AG, PL, V, I, Ba;4;;
298;Ausführung;Rechnungen prüfen und freigeben;Kosten;PM, AIF, AG;4;;
68;Projektabschluss;Kostenermittlung;Kosten;;2;64;
349;Projektabschluss;Projektbuchhaltung;Kosten;;3;;
350;Projektabschluss;Mittelabfluss fortschreiben;Kosten;AG, PL, V, I, Ba;4;;
71;Projektabschluss;Mittelabfluss abschliessen;Kosten;AG, PL, V, I, Ba;4;;
351;Projektabschluss;Rechnungen prüfen und freigeben;Kosten;PM, AIF, AG;4;;
352;Projektabschluss;Schlussrechnungen prüfen und freigeben;Kosten;PM, AIF, AG;4;;
353;Projektabschluss;Nachtragsmanagement;Kosten;;3;;
354;Projektabschluss;Nachträge einpflegen;Kosten;PM, PS, AIF;4;;
355;Projektabschluss;Erwartete Nachträge kalkulieren;Kosten;PM, PS, AIF, BER, SV;4;;
69;Projektabschluss;Kostenfeststellung;Kosten;;3;65;
356;Projektabschluss;Gesamtkosten ermitteln;Kosten;PM, PS, AIF;4;67;71
70;Projektabschluss;Kostenkennwerte ermitteln;Kosten;PM, PS, AIF;4;70;
72;Projektvorbereitung;Terminplanung;Termine;;2;25;79,91
73;Projektvorbereitung;Meilensteinplanung;Termine;;3;29;76
74;Projektvorbereitung;Baubeginn und Projektende festlegen;Termine;AG, AIF, PL, PS;4;31;75,203
75;Projektvorbereitung;Zwischenziele festlegen;Termine;PL, PS, PM, AIF;4;74;77
203;Projektvorbereitung;Zwangstermine definieren;Termine;AG, I, PL;4;74;77
76;Projektvorbereitung;Terminrahmen;Termine;;3;73;80,92
77;Projektvorbereitung;Terminrisiken identifizieren;Termine;PL, PS, PM, BER, SV;4;75,203;78
78;Projektvorbereitung;Rahmenterminplan erstellen;Termine;PL, PS, PM, AIF;4;77;81,93
91;Planung;Terminplanung / -fortschreibung;Termine;;2;72;97
92;Planung;Generalterminplan;Termine;;3;76;98
96;Planung;Rahmenterminplan fortschreiben;Termine;PM, PS, AIF;4;95;99
93;Planung;Bauzeit in Abschnitte unterteilen;Termine;PM, PS, AIF;4;78;94
94;Planung;Zeitliche Abhängigkeiten ermitteln;Termine;PM, PS, AIF;4;93;95
95;Planung;Vertragstermine u. -fristen übertragen;Termine;PM, AIF, RA;4;94;96
227;Planung;Generalterminplan entwickeln;Termine;PM, PS, AIF;4;;
158;Planung;Meilensteinplanung;Termine;;3;;
415;Planung;Meilensteine überprüfen;Termine;AG, PL, AIF, PS;4;;
416;Planung;Meilensteine anpassen;Termine;AG, PL, AIF;4;;
97;Ausführungsvorbereitung;Terminplanung / -fortschreibung;Termine;;2;91;104
254;Ausführungsvorbereitung;Vergabeterminplan;Termine;;3;;
255;Ausführungsvorbereitung;Soll-/Ist-Termine der Vergabe ermitteln;Termine;PM, PS, AIF, RA;4;;
256;Ausführungsvorbereitung;Dauer der Vergabephasen ermitteln;Termine;PM, PS, AIF;4;;
257;Ausführungsvorbereitung;Vergabeterminplan erstellen;Termine;PM, PS;4;;
258;Ausführungsvorbereitung;Vergabeterminplan fortschreiben;Termine;PM, PS;4;;
98;Ausführungsvorbereitung;Generalterminplan;Termine;;3;92;101
99;Ausführungsvorbereitung;Rahmenterminplan fortschreiben;Termine;PM, PS, AIF;4;96;100
100;Ausführungsvorbereitung;Vertragstermine übernehmen;Termine;PM, PS, AIF, RA;4;99;102
259;Ausführungsvorbereitung;Meilensteine anpassen;Termine;AG, PL, AIF;4;;
101;Ausführungsvorbereitung;Detail-/ Steuerungsterminplan;Termine;;3;98;105
102;Ausführungsvorbereitung;Generalterminplan fortschreiben;Termine;PM, PS, AIF;4;100;103
103;Ausführungsvorbereitung;Detail-/ Steuerungsterminplan erstellen;Termine;PM, PS, AIF;4;102;106
104;Ausführung;Terminfortschreibung;Termine;;2;97;108
105;Ausführung;Terminverfolgung;Termine;;3;101;109
106;Ausführung;Rahmenterminplan fortschreiben;Termine;PM, PS, AIF;4;103;107
107;Ausführung;Generalterminplan fortschreiben;Termine;PM, PS, AIF;4;106;110
299;Ausführung;Detail-/ Steuerungsterminplan fortschreiben;Termine;PM, PS, AIF;4;;
300;Ausführung;Abnahme/Gewährleistung;Termine;;3;;
301;Ausführung;Abnahmetermine aus Verträgen einarbeiten;Termine;PM, PS, AIF;4;;
302;Ausführung;Abnahmeterminplan erstellen;Termine;PM, PS, AIF;4;;
303;Ausführung;Verjährungsfristen für Mängel ermitteln;Termine;PM, PS, AIF, RA;4;;
